Merges,Seed,Weight,Mass@ZAMS(1),Mass@DCO(1),Mass@ZAMS(2),Mass@DCO(2),SemiMajorAxis@ZAMS,SemiMajorAxis@DCO,Eccentricity@ZAMS,Eccentricity@DCO,Metallicity@ZAMS,StellarType@ZAMS(1),StellarType@DCO(1),StellarType@ZAMS(2),StellarType@DCO(2),KickMagnitude(1),KickMagnitude(2),KickPhi(1),KickPhi(2),KickTheta(1),KickTheta(2),KickMeanAnomaly(1),KickMeanAnomaly(2)
0,9684212,1,11.00990099818129,1.2600024856222198,8.688475376627197,1.475924999504141,0.28791893933787815,0.05408624450470255,0.0,0.13709244543359353,0.027011322185910857,1,13,1,13,0.6916237256955355,0.9304458328988403,-0.12630649181115516,-0.13399807845190237,5.246621231565166,4.037719490172362,5.036507413424121,4.237547818030024
1,9684608,1,12.417618715019092,1.4914253864550528,11.65325208265033,1.176859037396994,8.259575487193581,0.016415823725142133,0.0,0.25394566298880566,0.029611636498592962,1,13,1,13,0.3316508121788502,0.43281247839331627,0.4244686281451291,0.4074990606940694,4.8348427986091655,4.921653627245772,2.4046970387924644,4.07549227928636
0,9685728,1,18.267976718089233,1.198119101505235,16.847170864880958,3.6912572564518524,0.15555543915484368,0.7647682319157535,0.0,0.9118879543257522,0.028784483714152685,1,13,1,14,0.6608159516472369,0.07102733408100903,-0.31983034931654886,-0.0853143678319861,2.1435600773669847,2.8511953936754333,4.359104968413257,3.221289197499313
0,9686184,1,11.022215683517157,1.2600017500386398,8.263052690502523,1.210748629446408,0.2291587644041913,7.892832645158647,0.0,0.986999922709612,0.027587071786421016,1,13,1,13,0.43761326372623444,0.8223610948771238,-0.6758737176461379,0.3375092606290957,1.7099805750289365,0.4273187674047368,1.1810408893564857,3.9507123642620443
1,9686425,1,11.454250209311693,1.2600141820019741,11.373885099416544,1.739797186452819,0.6060911167573086,0.0124911523393265,0.0,0.2097002637935763,0.02935669795280303,1,13,1,13,0.03326522628776729,0.29986382718198,-0.6338016748626542,1.1584755210227349,4.498990246990881,6.254257670410259,6.114867232650455,3.5789170477347594
0,9687887,1,10.34718404593303,1.26,8.657849270633196,1.6941528801906522,0.6862876857737003,0.23885411755694472,0.0,0.7135923948297073,0.00634782136988165,1,13,1,13,0.364764193771407,0.3443583413027227,-0.3231612119566929,-0.6868341686747116,1.8746406828805016,0.8209048177978387,0.24517683531930776,1.0642944953377087
1,9688376,1,11.199134365348959,1.2600697312797342,10.823998045409878,2.018022836036251,0.6973607240913716,0.0032900157151838586,0.0,0.1605926819757295,0.022531439087733987,1,13,1,14,0.11817859672009945,0.8185387903358787,-0.9531320033284737,-1.2366448946469333,0.3335853592149058,4.851758804165839,0.07796604348437376,6.015616377722535
1,9690955,1,11.541197722552255,1.2016101788348075,11.046204930134884,1.4832316757670698,6.523332781583234,0.005770430603324382,0.0,0.2328849226008072,0.029525672309057456,1,13,1,13,0.9232072401791811,0.7497834642417729,-0.3097504259630386,0.16695301355735337,3.329847296705601,6.270255337920181,1.3630855637221688,0.26023502415331484
0,9691876,1,13.278374439503647,1.7334549633802554,12.486951212901515,1.1912817559620996,12.524333035110063,0.035881384543136864,0.0,0.2759035700002843,0.027164533907448565,1,13,1,13,0.6560114035382867,0.8405751776881516,0.655113886589727,-0.9693724654001077,0.0034555309995934515,4.051438547203298,0.6856500348189419,2.212796360558945
0,9691960,1,149.06877677513327,9.111619902013302,117.53758071228603,8.937924167383251,1.3300673548171043,0.20444746208689893,0.0,0.574901475175426,0.027434387672061702,1,14,1,14,0.012524208752438426,0.24689084151759744,0.12676565125147277,0.29147597249335777,4.318479268144058,1.6807315176025774,4.124153639347329,1.1857991313506495
1,9692178,1,61.467502711168336,35.18180380095552,61.467502711168336,35.18180380095552,0.09394134562309964,0.16543674665119953,0.0,0.0006990542121763744,0.004492305402536565,16,14,16,14,0.4368691835552454,0.22707142494618893,0.4754870122742596,0.5847923844114193,0.35564549090793807,6.115939390681569,1.770530251085985,2.6436209745676935
1,9692445,1,9.683045971653971,1.2601079723409654,9.222511632363208,1.6638167892194793,0.8079868316687484,0.0027930508048482922,0.0,0.16880375028321776,0.015976702681113373,1,13,1,13,0.47557021770626307,0.301722667645663,1.3045789370363554,0.7806491508979287,2.2778862145783436,3.0118984456368803,0.7437330583700127,5.684898368664273
1,9692717,1,12.644749992207672,1.5974493617076282,11.962098576392995,1.1880611969159838,8.914584643720392,0.02173571919441237,0.0,0.1530484413133385,0.026722384554677334,1,13,1,13,0.7389373953919858,0.5007706815376878,-1.1841702673306975,0.5798130371867081,2.8723203930221644,5.2184672283007805,5.995909866170086,1.6668184951893483
0,9693271,1,11.540457238336254,1.2600025460483686,9.393785156314516,1.5646890158429747,0.4554688513789884,0.06566569892816428,0.0,0.040245243910129305,0.028764086212870583,1,13,1,13,0.5194753194227815,0.6275185020640492,-0.5509940698998437,0.09601897613022525,5.23146107295228,4.216162037443565,4.651612404270629,4.492079372245208
0,9693369,1,10.680602768231479,1.2600019947378478,6.985592413586422,1.217799115064304,0.3556176360268408,0.1637403052051124,0.0,0.1788809208973519,0.020897094365206235,1,13,1,13,0.11034295684657991,0.016764591448009014,-1.001793898868311,-0.39336406842844895,5.198770606074547,0.6638302283821356,3.4944332784980894,5.893809788103443
0,9695688,1,11.61906732198791,1.2600024709589652,9.362133644521117,1.231329559932391,1.094686235313274,0.10111456481999191,0.0,0.14633095012083688,0.029850935509695246,1,13,1,13,0.032835160847753286,0.7602248131297529,0.9561486483152017,-0.3560994450137984,0.9221919288811437,5.238712235609453,2.1840476108752687,0.969229009535784
0,9698553,1,11.487910890116144,1.2600031682629291,9.589532983628372,1.6319397755739478,0.45694665035097587,0.05965003084875832,0.0,0.18816260977903243,0.02664713416443121,1,13,1,13,0.5682058334350586,0.16094973450526595,1.0754287891478902,0.5022249385079189,1.396703508958813,5.666736395779487,0.7938933301466707,3.2540200877294123
0,9701156,1,11.106876364817682,1.2600129213332891,8.21449939596969,1.2253765895590745,0.44227875597840416,0.044869336227599074,0.0,0.2433145349421944,0.027924008292766457,1,13,1,13,0.09884931705892086,0.585281299892813,0.6283749419946618,-0.9350349451669603,1.9288929150008756,2.383001644760791,1.700728453503795,5.656686117853642
