,Merges,Seed,Weight,Mass@ZAMS(1),Mass@DCO(1),Mass@ZAMS(2),Mass@DCO(2),SemiMajorAxis@ZAMS,SemiMajorAxis@DCO,Eccentricity@ZAMS,Eccentricity@DCO,Metallicity@ZAMS,StellarType@ZAMS(1),StellarType@DCO(1),StellarType@ZAMS(2),StellarType@DCO(2),KickMagnitude(1),KickMagnitude(2),KickPhi(1),KickPhi(2),KickTheta(1),KickTheta(2),KickMeanAnomaly(1),KickMeanAnomaly(2),cond
count,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0
mean,1.0,5267698.967479675,1.0,67.84606725468973,8.909593505182817,47.0958138668128,7.897807002330922,12.544759273465177,0.06830210028318637,0.47651152640081657,0.3478697481038777,0.018788394623655027,1.548780487804878,14.0,1.548780487804878,14.0,0.12881767364196114,0.44248769193276294,0.00981935849160131,-0.030908589112339478,3.058887371943399,3.1841956668000377,3.111417132177647,3.1309237195286292,0.022341447154471544
std,0.0,3165060.047400447,0.0,34.46107004434727,4.82129740147783,25.81065581937788,5.491694140709828,59.0411921352649,0.18527264313122746,0.3054244220679311,0.29799868308957855,0.006951218734213795,2.8189890245900346,0.0,2.8189890245900346,0.0,0.1708970600287853,0.2899631500236157,0.6614213853793144,0.6970733512949796,1.8108533902453963,1.846345288515996,1.7942155443870411,1.8223317976572038,0.006677844887796545
min,1.0,4173.0,1.0,13.007324440644862,2.0216886330940635,12.50012852221881,2.0183807801669347,0.0593860476719483,0.0071396572683338,0.0,0.0005794431436856,0.0012758295451898,1.0,14.0,1.0,14.0,6.50724396109581e-05,0.0039134598337113,-1.427971089048354,-1.5153357061815755,0.0248462708783412,0.0085272485427008,0.0009171384539264,0.029397919581351,0.007562
25%,1.0,2393721.5,1.0,40.603652906055444,6.943976852242564,26.622402659495574,3.874894967180993,0.8463568899715903,0.019741396869279976,0.22373322697654108,0.08109285661699808,0.013344323840227199,1.0,14.0,1.0,14.0,0.0168051695218309,0.17586942674824962,-0.43763861474296795,-0.560474068509659,1.402722247983452,1.7081472076903994,1.582034816043084,1.492619748186604,0.015049
50%,1.0,5134970.0,1.0,62.15224325954772,8.57255801283096,41.26230106668063,7.537212913077793,1.9384633109738147,0.02717622553182265,0.4739834207952736,0.25817014555063966,0.0197824023787732,1.0,14.0,1.0,14.0,0.0641226402949541,0.4136953053530305,0.019462932009582552,-0.014338871686246,3.0765644249944835,3.0728943153654003,3.196950309035486,3.180432381774657,0.022525
75%,1.0,7868266.75,1.0,90.82722939822679,10.03111871532132,60.70882099241781,10.030786730951558,4.206107382198309,0.05918827081300487,0.7339200193047917,0.595735467196533,0.02486945622303835,1.0,14.0,1.0,14.0,0.16291169024771074,0.6961648223223165,0.4859876040985364,0.509097866332707,4.57410189701831,4.810804409610919,4.729210025368731,4.702902831099924,0.029999
max,1.0,10898339.0,1.0,149.83610176131305,43.30841332643256,131.17761820764147,43.30841332643256,709.8115028226186,3.323416794099676,0.998636464514708,0.99799532532432,0.0299178859884956,16.0,14.0,16.0,14.0,0.9991212622262536,0.9996289922855794,1.5031521535643129,1.4262073775957511,6.254836819196988,6.25700181068043,6.282963859418255,6.280076787662986,0.029999
