galaxy_number,m1_dco,m2_dco,m_chirp,a_dco,e_dco,Z,t_evol,lookback_time,SNR,SNR_harmonics
23,$10.9404\pm6.1901$,$9.8224\pm6.8446$,$8.827\pm5.6138$,$-1.3128\pm0.4685$,$0.5132\pm0.3114$,$-1.7886\pm0.1813$,$6.5072\pm1.8314$,$2.1845\pm1.091$,$1.1545\pm0.2721$,$0.571\pm0.4753$
24,$11.7526\pm7.0441$,$11.7946\pm7.2471$,$10.0138\pm6.1706$,$-1.2637\pm0.4567$,$0.496\pm0.2632$,$-1.8412\pm0.2115$,$6.5272\pm1.8256$,$2.3804\pm1.1807$,$1.1181\pm0.2344$,$0.6193\pm0.6655$
25,$11.4933\pm7.6366$,$12.1632\pm7.6949$,$10.0992\pm6.6185$,$-1.3047\pm0.4929$,$0.4828\pm0.2569$,$-1.8294\pm0.1932$,$6.8262\pm2.2835$,$2.3283\pm1.2904$,$1.1847\pm0.3062$,$0.5957\pm0.5854$
26,$11.0647\pm6.5752$,$10.5435\pm7.1117$,$9.159\pm5.9082$,$-1.3216\pm0.4954$,$0.4502\pm0.2935$,$-1.8106\pm0.1895$,$6.7407\pm2.3325$,$2.2576\pm1.1691$,$1.2317\pm0.3686$,$0.5143\pm0.4296$
27,$11.2561\pm6.8307$,$10.2124\pm7.4622$,$9.1232\pm6.2084$,$-1.2594\pm0.5167$,$0.4847\pm0.3117$,$-1.8171\pm0.1881$,$6.8378\pm2.6732$,$2.5082\pm1.1267$,$1.2493\pm0.3557$,$0.5303\pm0.5712$
28,$12.9668\pm7.6584$,$12.4473\pm8.1958$,$10.8863\pm6.8995$,$-1.2874\pm0.4915$,$0.4847\pm0.3066$,$-1.8447\pm0.1944$,$6.2313\pm1.8253$,$2.1909\pm1.2683$,$1.2331\pm0.4235$,$0.703\pm0.7622$
29,$10.1461\pm5.4903$,$10.1639\pm6.1938$,$8.703\pm4.905$,$-1.4847\pm0.3872$,$0.5932\pm0.2524$,$-1.8105\pm0.1786$,$5.8893\pm1.1823$,$1.6856\pm1.1836$,$1.2228\pm0.4082$,$0.9826\pm0.9604$
30,$10.5668\pm7.1844$,$10.0627\pm7.6417$,$8.7555\pm6.4141$,$-1.4448\pm0.3944$,$0.4836\pm0.2936$,$-1.8234\pm0.1952$,$6.671\pm2.1165$,$2.0553\pm1.0732$,$1.1831\pm0.3163$,$0.7137\pm0.8661$
31,$10.5884\pm7.3291$,$11.1527\pm7.5957$,$9.1625\pm6.3611$,$-1.377\pm0.415$,$0.4118\pm0.2546$,$-1.8051\pm0.1971$,$6.9643\pm2.3272$,$2.4533\pm1.0882$,$1.1253\pm0.3406$,$0.4122\pm0.2785$
32,$12.8759\pm8.2679$,$12.905\pm8.3598$,$11.1015\pm7.2323$,$-1.3708\pm0.4469$,$0.4451\pm0.2488$,$-1.8542\pm0.2097$,$5.924\pm1.1106$,$2.1626\pm1.2358$,$1.1905\pm0.3893$,$0.5068\pm0.2991$
33,$11.7014\pm7.2493$,$11.99\pm7.6742$,$10.0523\pm6.3264$,$-1.2752\pm0.477$,$0.5155\pm0.2813$,$-1.8803\pm0.2012$,$6.0764\pm1.2778$,$2.2818\pm1.2199$,$1.1605\pm0.3799$,$0.6098\pm0.6196$
34,$12.2902\pm6.5559$,$10.8683\pm7.5508$,$9.8453\pm6.1282$,$-1.3517\pm0.4397$,$0.4418\pm0.2861$,$-1.8158\pm0.2131$,$6.4506\pm1.6473$,$2.2645\pm1.1623$,$1.3119\pm0.5561$,$0.5581\pm0.6472$
35,$11.0619\pm6.1712$,$9.8352\pm7.082$,$8.8484\pm5.7465$,$-1.4309\pm0.4507$,$0.4576\pm0.3124$,$-1.8151\pm0.1868$,$6.7038\pm1.8774$,$1.9857\pm1.2523$,$1.1732\pm0.2865$,$0.7634\pm0.8337$
36,$10.9373\pm6.5722$,$9.722\pm7.5501$,$8.7404\pm6.1382$,$-1.3659\pm0.4382$,$0.3966\pm0.2858$,$-1.8653\pm0.189$,$6.623\pm1.6003$,$2.466\pm1.0423$,$1.1802\pm0.5449$,$0.4041\pm0.2288$
37,$11.9739\pm7.09$,$10.8605\pm8.1724$,$9.6139\pm6.6191$,$-1.178\pm0.6179$,$0.5274\pm0.3283$,$-1.8327\pm0.1821$,$6.3677\pm1.5045$,$2.2913\pm1.2241$,$1.1855\pm0.3493$,$0.7323\pm0.8056$
38,$11.4102\pm7.4386$,$10.9057\pm8.1897$,$9.4477\pm6.6798$,$-1.3898\pm0.4319$,$0.4067\pm0.2975$,$-1.8132\pm0.1899$,$6.8761\pm2.2505$,$2.2921\pm1.0908$,$1.1469\pm0.2164$,$0.4689\pm0.3924$
39,$9.6569\pm5.9625$,$8.4068\pm6.7302$,$7.5511\pm5.4614$,$-1.432\pm0.4735$,$0.4217\pm0.3175$,$-1.7811\pm0.1791$,$7.1039\pm2.1359$,$2.1612\pm1.1006$,$1.1458\pm0.3157$,$0.6286\pm0.6994$
40,$11.2415\pm6.5142$,$10.4276\pm7.1771$,$9.1491\pm5.926$,$-1.3313\pm0.4918$,$0.4068\pm0.2824$,$-1.8175\pm0.2078$,$6.5697\pm1.7599$,$2.3262\pm1.0696$,$1.0762\pm0.2223$,$0.5221\pm0.6011$
41,$9.7037\pm5.779$,$9.4506\pm6.518$,$8.112\pm5.1958$,$-1.3961\pm0.4802$,$0.4894\pm0.2921$,$-1.8179\pm0.2096$,$6.5142\pm1.6995$,$2.0416\pm1.0731$,$1.1073\pm0.209$,$0.5523\pm0.4567$
42,$9.8377\pm5.6987$,$9.5921\pm6.1176$,$8.1268\pm4.9842$,$-1.4471\pm0.4695$,$0.4832\pm0.2839$,$-1.8362\pm0.2034$,$6.7907\pm1.9951$,$1.9836\pm1.1442$,$1.1404\pm0.2908$,$0.7889\pm0.929$
43,$12.448\pm7.9457$,$12.1822\pm8.3652$,$10.5015\pm7.1108$,$-1.192\pm0.5328$,$0.5943\pm0.2737$,$-1.825\pm0.2054$,$6.6258\pm1.9987$,$2.1363\pm1.337$,$1.2787\pm0.4975$,$0.7652\pm0.6667$
44,$13.1494\pm8.0872$,$12.9127\pm8.3408$,$11.1396\pm7.1667$,$-1.2745\pm0.4606$,$0.4689\pm0.2814$,$-1.8468\pm0.1915$,$6.1907\pm1.7876$,$2.4133\pm1.237$,$1.2417\pm0.376$,$0.55\pm0.5827$
45,$10.2819\pm5.5568$,$9.2314\pm6.3472$,$8.2323\pm5.0933$,$-1.3923\pm0.4613$,$0.4548\pm0.3169$,$-1.7865\pm0.1793$,$6.3989\pm1.4626$,$2.1046\pm1.0933$,$1.1973\pm0.354$,$0.6581\pm0.6697$
46,$11.4552\pm6.4526$,$10.4781\pm7.2221$,$9.3013\pm5.9135$,$-1.3496\pm0.4694$,$0.4588\pm0.3036$,$-1.7936\pm0.1892$,$6.4277\pm1.4918$,$2.1909\pm1.1867$,$1.1579\pm0.4232$,$0.5319\pm0.4303$
47,$10.9654\pm6.4526$,$10.8415\pm6.9245$,$9.2845\pm5.6947$,$-1.4341\pm0.4054$,$0.4658\pm0.2726$,$-1.8443\pm0.215$,$6.7629\pm2.3895$,$2.0348\pm1.0562$,$1.2028\pm0.3313$,$0.5067\pm0.3716$
48,$11.9162\pm6.6326$,$12.1196\pm7.1946$,$10.2546\pm5.8746$,$-1.3614\pm0.4793$,$0.4598\pm0.2974$,$-1.8448\pm0.2125$,$6.1789\pm1.1946$,$2.0312\pm1.1879$,$1.1501\pm0.3815$,$0.6655\pm0.7669$
49,$11.3166\pm7.5126$,$10.9846\pm7.7588$,$9.5333\pm6.6408$,$-1.4097\pm0.45$,$0.4983\pm0.2731$,$-1.8208\pm0.1773$,$6.7271\pm2.3784$,$2.049\pm1.1933$,$1.1046\pm0.2846$,$0.6185\pm0.5759$
50,$13.826\pm8.3499$,$13.0499\pm9.0205$,$11.5002\pm7.573$,$-1.2427\pm0.5023$,$0.4582\pm0.2649$,$-1.8327\pm0.1992$,$6.2244\pm1.8641$,$2.4778\pm1.2144$,$1.1306\pm0.3291$,$0.6433\pm0.7676$
51,$11.7839\pm7.0104$,$10.6616\pm7.8747$,$9.5323\pm6.4807$,$-1.3087\pm0.5257$,$0.45\pm0.3027$,$-1.8038\pm0.2129$,$6.2808\pm1.377$,$2.2078\pm1.0804$,$1.1475\pm0.3454$,$0.5346\pm0.5579$
52,$10.4752\pm6.4635$,$10.3209\pm6.7737$,$8.8412\pm5.7117$,$-1.2748\pm0.523$,$0.5588\pm0.2681$,$-1.8438\pm0.1794$,$6.6011\pm1.9764$,$2.225\pm1.1955$,$1.1586\pm0.4718$,$0.6381\pm0.7131$
53,$10.1527\pm6.3499$,$9.8587\pm6.5159$,$8.5235\pm5.5281$,$-1.424\pm0.3999$,$0.5\pm0.2977$,$-1.8036\pm0.1919$,$6.347\pm1.4823$,$2.0219\pm1.1824$,$1.1983\pm0.4028$,$0.6042\pm0.5702$
54,$11.7576\pm7.8815$,$11.3313\pm8.1185$,$9.8807\pm6.9257$,$-1.3375\pm0.4427$,$0.4667\pm0.246$,$-1.8575\pm0.1989$,$6.6217\pm2.3701$,$2.432\pm1.1625$,$1.2251\pm0.4887$,$0.473\pm0.3189$
55,$11.1274\pm6.8315$,$10.2156\pm7.6068$,$9.0748\pm6.298$,$-1.2898\pm0.5893$,$0.4931\pm0.3102$,$-1.8058\pm0.2116$,$6.993\pm2.2817$,$2.1274\pm1.2061$,$1.248\pm0.4029$,$0.7281\pm0.6975$
56,$10.747\pm6.511$,$9.9884\pm6.9841$,$8.7777\pm5.8365$,$-1.3575\pm0.4959$,$0.5282\pm0.2778$,$-1.8169\pm0.1811$,$6.7157\pm2.2041$,$2.0255\pm1.17$,$1.1633\pm0.3001$,$0.7054\pm0.7261$
57,$10.2149\pm5.5788$,$9.221\pm6.9398$,$8.0812\pm5.1886$,$-1.4017\pm0.4805$,$0.4619\pm0.3178$,$-1.7959\pm0.1729$,$6.7966\pm2.0102$,$2.0463\pm1.0777$,$1.1008\pm0.2407$,$0.6836\pm0.8602$
58,$12.3117\pm6.6093$,$12.335\pm6.8762$,$10.6229\pm5.8411$,$-1.3239\pm0.4398$,$0.4875\pm0.2805$,$-1.8453\pm0.1878$,$5.8932\pm1.053$,$2.1538\pm1.2147$,$1.179\pm0.3659$,$0.748\pm0.9033$
59,$12.2876\pm7.2508$,$11.325\pm8.03$,$10.0481\pm6.66$,$-1.3305\pm0.5039$,$0.4384\pm0.2761$,$-1.8349\pm0.2049$,$6.4188\pm1.9131$,$2.2642\pm1.2048$,$1.167\pm0.2983$,$0.5839\pm0.586$
60,$11.7124\pm7.0941$,$11.3175\pm7.5464$,$9.8826\pm6.3528$,$-1.3698\pm0.445$,$0.5126\pm0.2976$,$-1.8358\pm0.2074$,$6.1535\pm1.2281$,$2.0593\pm1.2162$,$1.2753\pm0.4406$,$0.7732\pm0.828$
61,$9.5625\pm5.6234$,$9.5303\pm5.9596$,$8.0782\pm4.9537$,$-1.306\pm0.5264$,$0.5511\pm0.3025$,$-1.7999\pm0.1896$,$7.2766\pm2.3968$,$2.1769\pm1.1121$,$1.1231\pm0.3237$,$0.6457\pm0.659$
62,$10.798\pm6.2436$,$10.4507\pm6.7928$,$9.0523\pm5.617$,$-1.4223\pm0.3883$,$0.4547\pm0.272$,$-1.8187\pm0.1728$,$6.5272\pm1.6013$,$2.0918\pm1.0782$,$1.1238\pm0.2834$,$0.621\pm0.7602$
63,$11.9101\pm5.9271$,$11.0328\pm6.9834$,$9.751\pm5.5203$,$-1.3567\pm0.4541$,$0.4497\pm0.3013$,$-1.8457\pm0.2063$,$6.0507\pm1.1594$,$2.0887\pm1.0953$,$1.1943\pm0.3411$,$0.609\pm0.6638$
64,$10.8923\pm7.2161$,$10.4785\pm7.4578$,$9.1235\pm6.3348$,$-1.3349\pm0.4415$,$0.5204\pm0.2925$,$-1.819\pm0.1946$,$6.2359\pm1.5417$,$2.2226\pm1.1985$,$1.2122\pm0.4168$,$0.5606\pm0.4522$
65,$11.3395\pm6.6053$,$10.7577\pm7.1601$,$9.4265\pm5.9614$,$-1.3136\pm0.4659$,$0.4885\pm0.2974$,$-1.8018\pm0.1785$,$6.2387\pm1.4973$,$2.2025\pm1.3184$,$1.1774\pm0.3494$,$0.5888\pm0.6329$
66,$11.369\pm6.4828$,$10.6603\pm7.2115$,$9.378\pm5.955$,$-1.2463\pm0.5008$,$0.5301\pm0.2826$,$-1.8022\pm0.1791$,$6.4169\pm1.7672$,$2.3368\pm1.1663$,$1.1985\pm0.3014$,$0.6089\pm0.5779$
