galaxy_number,m1_dco,m2_dco,m_chirp,a_dco,e_dco,Z,t_evol,lookback_time,SNR,SNR_harmonics
67.0,6.7101,7.7129,6.2548,0.4821,0.2949,0.2046,1.1004,1.1096,0.4139,0.5454
68.0,7.2903,8.0854,6.6468,0.4917,0.3019,0.2085,1.8725,1.1154,0.361,0.5917
69.0,6.1165,7.1735,5.679,0.3836,0.2773,0.1975,2.0035,1.0827,0.4261,0.4799
70.0,5.9931,6.5817,5.3303,0.4051,0.298,0.1856,2.066,1.0679,0.2797,0.6864
71.0,7.1729,7.9059,6.5686,0.4973,0.2762,0.1961,1.2278,1.2374,0.2682,0.5847
72.0,6.4142,7.1562,5.8773,0.5813,0.2995,0.1857,1.9575,1.1585,0.4305,0.7353
73.0,7.7711,7.9314,6.8089,0.5099,0.2665,0.2032,1.8285,1.2305,0.3284,0.5493
74.0,7.8278,8.457,7.1007,0.4981,0.2946,0.1993,1.7464,1.2348,0.3169,0.7656
75.0,5.7677,6.9223,5.5109,0.4612,0.3105,0.1747,1.763,1.0785,0.3398,0.398
76.0,6.7254,6.8666,5.8227,0.5399,0.3083,0.2068,2.295,1.1263,0.312,0.5067
77.0,6.6744,7.2428,6.0221,0.4233,0.2985,0.1749,2.1728,1.2146,0.4389,0.6991
78.0,6.4731,7.0622,5.8575,0.4449,0.2893,0.1994,1.8697,1.0603,0.3497,0.2656
79.0,7.213,7.6646,6.284,0.4431,0.2808,0.1843,2.4688,1.1665,0.3451,0.5949
80.0,8.1203,8.9458,7.4855,0.4995,0.2604,0.1966,1.9104,1.2283,0.5658,0.4255
81.0,6.9404,8.0085,6.442,0.5097,0.2778,0.1908,1.5156,1.1437,0.4277,0.5543
82.0,7.2629,8.0201,6.6506,0.4797,0.2744,0.1928,1.538,1.2459,0.3991,0.5038
83.0,6.7698,6.9461,5.9227,0.437,0.2825,0.1958,1.1741,1.238,0.2972,0.7036
84.0,7.2714,8.1112,6.7061,0.4688,0.3001,0.204,1.5227,1.1573,0.3814,0.5884
85.0,7.0857,8.2027,6.512,0.5456,0.3208,0.1744,1.5164,1.1583,0.2998,0.7465
86.0,5.5568,5.9251,4.8428,0.3843,0.2791,0.1618,1.4302,1.15,0.3508,0.5206
87.0,7.0555,7.4203,6.2278,0.505,0.2972,0.1675,1.9795,1.2122,0.3532,0.5369
88.0,6.6273,7.3768,6.0672,0.5432,0.3033,0.1687,2.3561,1.0014,0.3526,0.6496
89.0,6.8337,7.1928,5.9553,0.4228,0.273,0.1856,1.8324,1.1198,0.1972,0.3807
90.0,7.3277,7.8777,6.6297,0.5054,0.2937,0.1967,1.1776,1.2706,0.3361,0.706
91.0,6.3595,6.5442,5.5713,0.4684,0.313,0.1818,1.9836,1.1787,0.4029,0.8539
92.0,5.7599,7.0985,5.3396,0.5057,0.3129,0.1795,1.2764,1.0108,0.4438,0.6201
93.0,7.5089,7.6439,6.6063,0.4951,0.2423,0.2056,2.0689,1.2217,0.3948,0.5454
94.0,6.4437,7.1178,5.7208,0.4698,0.2738,0.1829,1.6311,1.2111,0.2737,0.4965
95.0,6.895,7.3108,6.1408,0.4445,0.2978,0.1934,2.7055,1.2254,0.4509,0.8246
96.0,6.2507,6.707,5.5945,0.4365,0.2857,0.1975,1.6785,1.0904,0.2559,0.3925
97.0,6.4725,7.2503,5.8367,0.4008,0.3089,0.155,1.6769,1.1141,0.4043,0.6122
98.0,6.6324,7.0602,5.9054,0.4905,0.3029,0.1955,2.2024,1.2004,0.2812,0.7254
99.0,6.6565,7.7847,6.1931,0.4862,0.2886,0.212,2.1061,1.1344,0.3397,0.5612
100.0,7.1116,7.4369,6.3077,0.4232,0.2789,0.2064,1.6503,1.2264,0.2936,0.6165
